model,bench mark,parameters,sim_total_insn,sim_total_refs,sim_num_insn,sim_num_refs,sim_total_branches,sim_cycle,sim_CPI,pred_miss_rate,il1.miss_rate,dl1.miss_rate,ul2.miss_rate,mem.page_mem
sim-fast,perl.ss,,,,65131308,,,,,,,,,660k
sim-fast,compress95.ss,,,,401587604,,,,,,,,,1096k
sim-fast,swim.ss,,,,736511341,,,,,,,,,3868k
sim-cache,perl.ss,,,,65131308,30894003,,,,,0.1151,0.0314,,660k
sim-cache,compress95.ss,,,,401587604,136350732,,,,,0.0001,0.0924,,1096k
sim-cache,swim.ss,,,,736511341,239681951,,,,,0.0009,0.5022,,3868k
sim-outorder,perl.ss,-cache:il1 il1:64:64:8:l -cache:il1lat 6,76582093,35293264,65131308,30894003,15752160,36983370,0.5678,0.043738035251044034,0.0020,0.0026,0.0117,660k
sim-outorder,compress95.ss,-cache:il1 il1:64:64:8:l -cache:il1lat 6,474674696,159043572,401587604,136350732,91091690,267269821,0.6655,0.07625070737222142,0.0000,0.0779,0.1479,1096k
sim-outorder,swim.ss,-cache:il1 il1:64:64:8:l -cache:il1lat 6,737372158,239938466,736511341,239681951,12870248,607227394,0.8245,0.010198610404384377,0.0000,0.2564,0.0771,3868k
sim-outorder,perl.ss,-bpred:2lev 1 512 4 0,74377990,34179430,65131308,30894003,15313379,62870864,0.9653,0.04532705529654688,0.0652,0.0027,0.0006,660k
sim-outorder,compress95.ss,-bpred:2lev 1 512 4 0,474671055,159042187,401587604,136350732,91091006,267516548,0.6661,0.07625147930025841,0.0000,0.0779,0.1483,1096k
sim-outorder,swim.ss,-bpred:2lev 1 512 4 0,737369637,239937614,736511341,239681951,12869672,608022781,0.8255,0.010199225862291656,0.0003,0.2564,0.0769,3868k
sim-outorder,perl.ss,,74377990,34179430,65131308,30894003,15313379,62870864,0.9653,0.04532705529654688,0.0652,0.0027,0.0006,660k
sim-outorder,compress95.ss,,474671055,159042187,401587604,136350732,91091006,267516548,0.6661,0.07625147930025841,0.0000,0.0779,0.1483,1096k
sim-outorder,swim.ss,,737369637,239937614,736511341,239681951,12869672,608022781,0.8255,0.010199225862291656,0.0003,0.2564,0.0769,3868k
sim-outorder,perl.ss,-cache:il1 il1:128:64:4:l -cache:il1lat 4,76067982,35073244,65131308,30894003,15650272,38820547,0.5960,0.04414685459933752,0.0060,0.0027,0.0056,660k
sim-outorder,compress95.ss,-cache:il1 il1:128:64:4:l -cache:il1lat 4,474674725,159043598,401587604,136350732,91091690,267271622,0.6655,0.07625070737222142,0.0000,0.0779,0.1479,1096k
sim-outorder,swim.ss,-cache:il1 il1:128:64:4:l -cache:il1lat 4,737371788,239938363,736511341,239681951,12870152,607231458,0.8245,0.010198710203323387,0.0000,0.2564,0.0771,3868k
sim-outorder,perl.ss,-cache:il2 dl2 -cache:dl2 ul2:1024:64:16:l -cache:dl2lat 12,74321896,34155882,65131308,30894003,15300949,93053171,1.4287,0.04547292047838098,0.0652,0.0027,0.0006,660k
sim-outorder,compress95.ss,-cache:il2 dl2 -cache:dl2 ul2:1024:64:16:l -cache:dl2lat 12,474977914,159050097,401587604,136350732,91191701,275580651,0.6862,0.07616519075088565,0.0000,0.0781,0.0012,1096k
sim-outorder,swim.ss,-cache:il2 dl2 -cache:dl2 ul2:1024:64:16:l -cache:dl2lat 12,737394298,239955402,736511341,239681951,12869663,693707654,0.9419,0.010199077733717086,0.0003,0.2574,0.0622,3868k
sim-outorder,perl.ss,-mem:lat 20 4,74378896,34179436,65131308,30894003,15313380,62916283,0.9660,0.045327046752309794,0.0652,0.0027,0.0006,660k
sim-outorder,compress95.ss,-mem:lat 20 4,474668372,159041937,401587604,136350732,91090006,284563517,0.7086,0.0762520455471752,0.0000,0.0779,0.1483,1096k
sim-outorder,swim.ss,-mem:lat 20 4,737370398,239937615,736511341,239681951,12869667,671893808,0.9123,0.010199226654434637,0.0003,0.2564,0.0769,3868k
sim-outorder,perl.ss,-fastfwd 10000000,62988330,28950876,55131308,26152476,12965487,52914515,0.9598,0.04568846556970978,0.0644,0.0027,0.0004,660k
sim-outorder,compress95.ss,-fastfwd 10000000,460746915,157719379,391587604,135339524,88223667,258642396,0.6605,0.07547827518663987,0.0000,0.0772,0.1500,1096k
sim-outorder,swim.ss,-fastfwd 10000000,727097703,237028496,726511341,236858333,11396618,602047636,0.8287,0.00902399623842986,0.0002,0.2595,0.0770,3868k
